month	all	felix
2024-10	5	5
2024-11	6	4
2024-12	20	11
2025-01	14	9
2025-02	15	8
2025-03	11	5
2025-04	16	10
2025-05	14	9
2025-06	12	5
2025-07	17	9
2025-08	10	5
2025-09	12	4
2025-10	14	4
2025-11	6	1
2025-12	6	0
2026-01	14	7
2026-02	8	3
2026-03	10	4
2026-04	2	1
# games 212 · felix 104 · record {'Tie': 4, 'Win': 60, 'Loss': 38} · teams 11: {'Hierotek Circle': 36, 'Canoptek Circle': 21, 'Plague Marines': 17, 'Raveners': 9, 'Void-Dancer Troupe': 6, 'Ratlings': 5, 'Nemesis Claw': 4, 'Battleclade': 3, 'Hearthkyn Salvagers': 1, 'Corsair Voidscarred': 1, 'Phobos Strike Team': 1}
